node	term	estimate	std.error	z.value	p.value	exclude	p.value.adj	p.value.adj.signif	taxonomy
node15	Ageyoung	-1.8468616471403814	0.4087905781838319	-4.517867450237205	6.246556561300703e-6		9.857203540689902e-6	****	f__Clostridiales_vadinBB60_group
node16	(Intercept)	3.163015952983406	0.20261409246452014	15.611036303100603	6.1234235806001835e-55		2.1036450386942256e-54	****	f__Family_XIII
node16	Ageyoung	-2.0467820629654754	0.2855325724161535	-7.168296232005237	7.593685158482806e-13		1.613096433074158e-12	****	f__Family_XIII
node17	(Intercept)	1.367461412786798	0.18356213703784127	7.449583203015861	9.363557316969906e-14		2.043475426621396e-13	****	f__Family_XIII
node17	Ageyoung	-22.6700465057821	2958.8279118671203	-0.007661833395196186	0.9938868012378095		0.9999963516552207	ns	f__Family_XIII
node18	(Intercept)	2.9814516851313586	0.2489300394750166	11.97706669479955	4.686125591093623e-33		1.356708941292428e-32	****	f__Family_XIII
node18	Ageyoung	-1.8652177951134306	0.34786946079247993	-5.361832541621463	8.238189418121546e-8		1.4604987659780913e-7	****	f__Family_XIII
node19	(Intercept)	2.9753772549118307	0.25994536682853453	11.446163827472457	2.4578360948120534e-30		6.920495357157076e-30	****	f__Family_XIII
node19	Ageyoung	-1.9601465751827716	0.36343650470281574	-5.393367341526673	6.914938234790093e-8		1.2350561324824097e-7	****	f__Family_XIII
node20	(Intercept)	2.9141336296711113	0.3613981018214883	8.063500098599135	7.414046988474585e-16		1.774428579241584e-15	****	f__Family_XIII
node20	Ageyoung	-2.0166859855984374	0.5019930567774922	-4.017358324723466	5.8854197190691526e-5		8.95282067434672e-5	****	f__Family_XIII
node21	(Intercept)	0.1520162072986259	0.2594924026066685	0.5858214181670972	0.5579955290233665		0.6107329113395993	ns	f__Family_XIII
node21	Ageyoung	-1.3340101049057862	0.39939372051847394	-3.340087829057597	8.375189837332308e-4		0.0011676478258649703	**	f__Family_XIII
node22	(Intercept)	-0.708185057924486	0.4271281773050509	-1.6580153114522973	0.09731437592672425	negative intercept	0.11723443274393962	ns	f__Family_XIII
node22	Ageyoung	-0.47380883968267484	0.6015184194691202	-0.7876879981511496	0.4308792275119684	negative intercept	0.4737691965598672	ns	f__Family_XIII
node23	(Intercept)	4.375663146982912	0.1733312335951804	25.24451627225124	1.3010202379082278e-140		6.57839810435287e-140	****	g__Romboutsia
node23	Ageyoung	-0.9318320795712349	0.2390416987269632	-3.898198868790615	9.691081604706093e-5		1.443609251489414e-4	***	g__Romboutsia
node24	(Intercept)	4.457466342275457	0.23360913698336666	19.080873290469096	3.6412387507839702e-81		1.4770674706570003e-80	****	o__Clostridiales
node24	Ageyoung	-1.5760232151235933	0.32236336882333416	-4.888964961733311	1.0136753409289237e-6		1.680875045697384e-6	****	o__Clostridiales
node25	(Intercept)	4.209138059030117	0.5352756404253993	7.86349637671722	3.7355715804384e-15		8.7939029336222e-15	****	g__Clostridium_sensu_stricto_1
node25	Ageyoung	-1.6128888219067443	0.7370710966015825	-2.1882404958535195	0.028652088741433723		0.03647553141196704	*	g__Clostridium_sensu_stricto_1
node26	(Intercept)	2.942866651798487	0.16295334384800703	18.05956589969344	6.634224249849424e-73		2.588789680104286e-72	****	f__Peptococcaceae
node26	Ageyoung	-1.4552197964183098	0.22931282036737952	-6.346002783825686	2.2098123690963606e-10		4.3589156071735905e-10	****	f__Peptococcaceae
node27	(Intercept)	8.209966130118431	0.09342722965765161	87.87551723627547	0		0	****	o__Clostridiales
node27	Ageyoung	-0.9442753686768377	0.12857657104055814	-7.344070237951639	2.0719430307324977e-13		4.467432720918719e-13	****	o__Clostridiales
node28	(Intercept)	3.4946967868657723	0.2663366946739637	13.121349242333313	2.4847138091553395e-39		7.624036388775786e-39	****	f__Clostridiales_vadinBB60_group
node28	Ageyoung	-1.8667642917955056	0.3694821689265853	-5.052379921929127	4.363386747215478e-7		7.495004029906012e-7	****	f__Clostridiales_vadinBB60_group
node29	(Intercept)	3.34439009142132	0.38582907066944916	8.66806144394069	4.39539528181782e-18		1.1112302156145053e-17	****	f__Clostridiales_vadinBB60_group
node29	Ageyoung	-1.9782984376189499	0.5336480551254901	-3.70712198539493	2.096279838530818e-4		3.0592051302136736e-4	***	f__Clostridiales_vadinBB60_group
node30	(Intercept)	3.2194726616510625	0.4369257547970913	7.368466212631912	1.7260226348780916e-13		3.732783891091776e-13	****	f__Clostridiales_vadinBB60_group
node30	Ageyoung	-2.316604950109048	0.6052416996957638	-3.8275699629974826	1.2941460545169443e-4		1.9198282378991033e-4	***	f__Clostridiales_vadinBB60_group
node31	(Intercept)	-0.5937747067467427	0.5927148745772608	-1.0017880978104992	0.3164459468685592	negative intercept	0.3550127966431648	ns	f__Clostridiales_vadinBB60_group
node31	Ageyoung	1.4966424182887568	0.8039962321305304	1.8615042688978347	0.06267299835272966	negative intercept	0.07731823508120257	ns	f__Clostridiales_vadinBB60_group
node32	(Intercept)	3.197148959352864	0.024701606911324267	129.43080872553094	0		0	****	f__Clostridiales_vadinBB60_group
node32	Ageyoung	-40.240802342376305	7749064.1390819885	-5.192988678390721e-6	0.9999958565945091		0.9999963516552207	ns	f__Clostridiales_vadinBB60_group
node33	(Intercept)	2.4113725657418517	0.03658865552936457	65.90492410431922	0		0	****	f__Clostridiales_vadinBB60_group
node33	Ageyoung	-39.45502595521848	7749064.1390819885	-5.091585931806807e-6	0.9999959375021951		0.9999963516552207	ns	f__Clostridiales_vadinBB60_group
node34	(Intercept)	1.5254071635826085	0.2711883552961309	5.624899203053546	1.8561632649368908e-8		3.417244164678686e-8	****	f__Clostridiales_vadinBB60_group
node34	Ageyoung	-1.3655584626407116	0.3843238890434482	-3.553144890471104	3.8065474351079933e-4		5.444424419138524e-4	***	f__Clostridiales_vadinBB60_group
node35	(Intercept)	1.3207603197408175	0.27701834839504597	4.767771981144471	1.8627443312410687e-6		3.0327674145829642e-6	****	f__Clostridiales_vadinBB60_group
node35	Ageyoung	-1.2074316344338147	0.3919674536088323	-3.0804384989545146	0.002066960371215893		0.0028054395964707208	**	f__Clostridiales_vadinBB60_group
node36	(Intercept)	0.6155889462140711	0.3082938749626633	1.9967602220077305	0.045851236619306686		0.05745408009190611	ns	f__Clostridiales_vadinBB60_group
node36	Ageyoung	-1.0412567616397557	0.4394951006828598	-2.3692113063875264	0.017826065697724394		0.022978662784499306	*	f__Clostridiales_vadinBB60_group
node37	(Intercept)	0.5659920050746993	0.32673401678731434	1.7322714379113104	0.08322524488270798		0.10128089123014293	ns	f__Clostridiales_vadinBB60_group
node37	Ageyoung	-1.5161842886245354	0.4785761799821131	-3.1681148206774585	0.001534309106877529		0.0021104098443257965	**	f__Clostridiales_vadinBB60_group
node38	(Intercept)	-0.16164135155641549	0.6997252096336083	-0.23100690003873733	0.8173094415449964	negative intercept	0.8629826162195697	ns	f__Clostridiales_vadinBB60_group
node38	Ageyoung	-2.7695524008600034	1.0776514205066068	-2.5699890968064882	0.010170171582047588	negative intercept	0.013349512241152045	*	f__Clostridiales_vadinBB60_group
node39	(Intercept)	8.20096831783188	0.09382751407633691	87.40472769170536	0		0	****	o__Clostridiales
node39	Ageyoung	-0.9388447532029321	0.1291272638011326	-7.270693466012228	3.576466870083008e-13		7.688332972214372e-13	****	o__Clostridiales
node40	(Intercept)	7.075531261452946	0.08717033816840675	81.16902389186026	0		0	****	o__Clostridiales
node40	Ageyoung	-0.6480292940375576	0.11998787584320972	-5.400789783830734	6.634813885672434e-8		1.1879791446166603e-7	****	o__Clostridiales
node41	(Intercept)	7.0739651497621185	0.08716673519647118	81.15441210247941	0		0	****	f__Ruminococcaceae
node41	Ageyoung	-0.6464631823467306	0.11998284634424829	-5.387963380131302	7.126056672723437e-8		1.2696051342470044e-7	****	f__Ruminococcaceae
node42	(Intercept)	6.584894462855088	0.09662257985058509	68.15067940679927	0		0	****	f__Ruminococcaceae
node42	Ageyoung	-0.5270181502278544	0.13299921541774573	-3.962565858546679	7.414854371442215e-5		1.1184591257763677e-4	***	f__Ruminococcaceae
node43	(Intercept)	1.1843791104255346	0.183293198641811	6.46166425814867	1.0355766272706256e-10		2.0711532545412512e-10	****	g__Butyricicoccus
node43	Ageyoung	-4.808720043401901	0.7480173995213609	-6.428620572835458	1.2876709390675604e-10		2.568188150695857e-10	****	g__Butyricicoccus
node44	(Intercept)	0.9192713600122926	0.24715577208217782	3.7194007336662174	1.9969600951853507e-4		2.9261578537613915e-4	***	g__Butyricicoccus
node44	Ageyoung	-4.5436122929886595	0.7812417382346465	-5.8158852383588115	6.0313836511353875e-9		1.1306875878629787e-8	****	g__Butyricicoccus
node45	(Intercept)	6.580369988930824	0.09663014509943763	68.09852124468269	0		0	****	f__Ruminococcaceae
node45	Ageyoung	-0.5225560612813063	0.13300931473612856	-3.928717791817683	8.539998692789436e-5		1.2774414711297531e-4	***	f__Ruminococcaceae
node46	(Intercept)	6.023049985827784	0.09789310735781133	61.52680355535959	0		0	****	f__Ruminococcaceae
node46	Ageyoung	-0.5534158379592309	0.13478798607103257	-4.105824666506877	4.028749884360946e-5		6.167681059639999e-5	****	f__Ruminococcaceae
node47	(Intercept)	3.0438114529796447	0.13266720725626494	22.94320892049913	1.7224520302242945e-116		7.778116715100902e-116	****	f__Ruminococcaceae
node47	Ageyoung	-1.3210448552385408	0.18726814968300182	-7.054295444659114	1.7347744080129693e-12		3.663435367509741e-12	****	f__Ruminococcaceae
node48	(Intercept)	3.01860306017135	0.12751632549212874	23.672287046552956	6.959387795287391e-124		3.353584185917011e-123	****	g__Ruminiclostridium_9
node48	Ageyoung	-1.409165147737249	0.18111172409981197	-7.780640125542884	7.215849134368328e-15		1.6766924525813784e-14	****	g__Ruminiclostridium_9
node49	(Intercept)	5.970881017972385	0.10053163030135452	59.39305868286447	0		0	****	f__Ruminococcaceae
node49	Ageyoung	-0.5251211353871574	0.13841488370132937	-3.7938198649233414	1.4834731343619007e-4		2.1916331491190222e-4	***	f__Ruminococcaceae
node50	(Intercept)	5.196681249981193	0.1401180681285851	37.087873957927	4.406622504718051e-301		3.515505509319512e-300	****	f__Ruminococcaceae
node50	Ageyoung	-0.556530095097855	0.1929427446426683	-2.884431317324493	0.003921212833024924		0.00521376076687388	**	f__Ruminococcaceae
node51	(Intercept)	4.803653959993741	0.13718433533173746	35.01605302367508	1.2819833299323491e-268		9.392490111137008e-268	****	f__Ruminococcaceae
node51	Ageyoung	-0.2891381422737808	0.1888605876821715	-1.5309607251692119	0.1257790996003049		0.1500156038422241	ns	f__Ruminococcaceae
node52	(Intercept)	4.725536945629755	0.13743334717611902	34.384209092819674	4.342233277626978e-259		3.0269160129477375e-258	****	f__Ruminococcaceae
node52	Ageyoung	-0.21102112790979258	0.18917957222455944	-1.115454091730934	0.26465588087049685		0.3021032153656864	ns	f__Ruminococcaceae
node53	(Intercept)	4.618366314910681	0.1391945633557805	33.17921478805291	2.1473599062450878e-241		1.3890129843999757e-240	****	f__Ruminococcaceae
node53	Ageyoung	-0.11132360692053231	0.1915700076301581	-0.5811118780944657	0.561165053683653		0.611405931024071	ns	f__Ruminococcaceae
node54	(Intercept)	4.546940083081331	0.139675115029046	32.553687764178875	1.8567443988960358e-232		1.1592543290498728e-231	****	f__Ruminococcaceae
node54	Ageyoung	-0.03989737509118361	0.19220575804511691	-0.20757637802827114	0.8355597502160985		0.8809572696845209	ns	f__Ruminococcaceae
node55	(Intercept)	4.210910716263639	0.14355389229662474	29.333309246416345	3.901624524509268e-189		2.2962019742603726e-188	****	f__Ruminococcaceae
node55	Ageyoung	0.19418119134123973	0.1974395559501805	0.983496900642529	0.32536293995895504		0.3644470996732133	ns	f__Ruminococcaceae
node56	(Intercept)	0.6315892875605121	0.4962398370398974	1.272750070465892	0.2031067438396911		0.23597191274579	ns	f__Ruminococcaceae
node56	Ageyoung	-22.934174380554555	4878.282544870063	-0.004701280454669815	0.9962489347269176		0.9999963516552207	ns	f__Ruminococcaceae
node57	(Intercept)	4.182619651170752	0.14424933556536412	28.99576372242955	7.440650628095932e-185		4.3083767346555475e-184	****	f__Ruminococcaceae
node57	Ageyoung	0.2224722564341259	0.19838259854898102	1.1214302971195182	0.26210474585118093		0.2996675278999171	ns	f__Ruminococcaceae
node58	(Intercept)	4.072719379558039	0.310178976252423	13.130223810667518	2.2100238542868702e-39		6.810288100334647e-39	****	f__Ruminococcaceae
node58	Ageyoung	-1.5691000208378836	0.4278117817725034	-3.6677344750460397	2.4470911136382486e-4		3.542361733048916e-4	***	f__Ruminococcaceae
node59	(Intercept)	1.6841853389419152	0.4473386193022476	3.7649003825533405	1.6661549412735614e-4		2.45646662799675e-4	***	f__Ruminococcaceae
node59	Ageyoung	-3.516766802690136	0.6780391643582551	-5.186672079655836	2.1408520755389555e-7		3.7218687414938743e-7	****	f__Ruminococcaceae
node60	(Intercept)	3.9764682386324424	0.32570341616970455	12.208862545551389	2.7875900698478816e-34		8.136136870531621e-34	****	f__Ruminococcaceae
node60	Ageyoung	-1.4860214084688281	0.44911567555515175	-3.3087720811168695	9.370608618793003e-4		0.001303894765173135	**	f__Ruminococcaceae
node61	(Intercept)	3.9132163229921884	0.33184949003562075	11.792142041779673	4.2850181262025585e-32		1.2257541890890187e-31	****	f__Ruminococcaceae
node61	Ageyoung	-1.485468087044137	0.45761525440020684	-3.246107014048581	0.001169948518951366		0.00161232828523432	**	f__Ruminococcaceae
node62	(Intercept)	3.759463099449973	0.9041646715799128	4.157940713256125	3.2112933463781695e-5		4.94787258090027e-5	****	f__Ruminococcaceae
node62	Ageyoung	-4.709655382999811	1.257775091845827	-3.7444336539438337	1.8080114389987158e-4		2.6547080024561925e-4	***	f__Ruminococcaceae
node63	(Intercept)	1.9649181131004905	0.29342643576246086	6.696459056235688	2.1353023975450136e-11		4.343192978575977e-11	****	g__Ruminococcaceae_UCG-009
node63	Ageyoung	0.4281168828156277	0.40294338793067613	1.0624740239918828	0.28802054436086144		0.3261809950332784	ns	g__Ruminococcaceae_UCG-009
node64	(Intercept)	5.352706609804987	0.09746028419454163	54.92192695765576	0		0	****	g__Ruminiclostridium_9
node64	Ageyoung	-0.49901106656630856	0.13425608252779656	-3.7168600272765495	2.0171412220518719e-4		2.9497095670738164e-4	***	g__Ruminiclostridium_9
node65	(Intercept)	5.349875551222192	0.09750302805050985	54.86881441723816	0		0	****	g__Ruminiclostridium_9
node65	Ageyoung	-0.49690822648123406	0.13431444641706172	-3.6995888360234694	2.1594904147292365e-4		3.1450590624251357e-4	***	g__Ruminiclostridium_9
node66	(Intercept)	5.1182618969543485	0.10202166992229388	50.168379922155154	0		0	****	g__Ruminiclostridium_9
node66	Ageyoung	-0.4302222331439649	0.1405329899552645	-3.061361131510234	0.002203331711397254		0.002984890884496657	**	g__Ruminiclostridium_9
node67	(Intercept)	5.103681492856582	0.10231657075087151	49.8812797907724	0		0	****	g__Ruminiclostridium_9
node67	Ageyoung	-0.41564182904619573	0.14093417009096598	-2.9491913052591836	0.0031860668765554202		0.004291924985678784	**	g__Ruminiclostridium_9
node68	(Intercept)	3.5663744666744397	0.3374202023006676	10.569534492473936	4.125372268650531e-26		1.1305409499584279e-25	****	g__Ruminiclostridium_9
node68	Ageyoung	0.20531309862681196	0.4642096490455252	0.44228528865990213	0.6582827751584787		0.7086162407253189	ns	g__Ruminiclostridium_9
node69	(Intercept)	4.861661902056835	0.12145301116312987	40.02915905911039	0		0	****	g__Ruminiclostridium_9
node69	Ageyoung	-0.6844069530145004	0.16742048314040367	-4.08795232325627	4.351975622044405e-5		6.648337226867836e-5	****	g__Ruminiclostridium_9
node70	(Intercept)	4.859233734129679	0.12155409388593956	39.975895330101736	0		0	****	g__Ruminiclostridium_9
node70	Ageyoung	-0.7091391568030884	0.16757537526505342	-4.231762308044635	2.3186737393851016e-5		3.595697073171713e-5	****	g__Ruminiclostridium_9
node71	(Intercept)	5.730002860269356	0.12607985388389775	45.44741038124856	0		0	****	f__Ruminococcaceae
node71	Ageyoung	-0.4826279724588933	0.17356131061726018	-2.780734777482703	0.005423602681905172		0.007184772556472165	**	f__Ruminococcaceae
node72	(Intercept)	-0.3760512229018705	0.40175324439742377	-0.9360253542342816	0.34926013371407283	negative intercept	0.3887888000103943	ns	g__Ruminococcaceae_UCG-005
node72	Ageyoung	3.5590925947608567	0.535469173507123	6.646680651007658	2.9977646435868704e-11	negative intercept	6.046053410380261e-11	****	g__Ruminococcaceae_UCG-005
node73	(Intercept)	5.727771041381677	0.12939796978658158	44.26476745213696	0		0	****	f__Ruminococcaceae
node73	Ageyoung	-0.6161045897888259	0.17815335044492764	-3.458282363200807	5.43631297928314e-4		7.668512218320815e-4	***	f__Ruminococcaceae
node74	(Intercept)	5.371886814192544	0.15290287561292662	35.13267355279483	2.137994341423757e-270		1.5825566362291314e-269	****	g__Ruminiclostridium
node74	Ageyoung	-0.47623846845066986	0.21048175823263535	-2.2626116032549786	0.023659642224926277		0.03028096812388069	*	g__Ruminiclostridium
node75	(Intercept)	5.244664653055716	0.15569229807281035	33.686089279785826	9.240786791837565e-249		6.200827024803151e-248	****	g__Ruminiclostridium
node75	Ageyoung	-0.3735468867618509	0.2143045254128347	-1.7430657894052999	0.08132212357121274		0.09913291124640194	ns	g__Ruminiclostridium
node76	(Intercept)	4.0245517973449445	0.21481124255108847	18.735294063520847	2.5522773758278346e-78		1.018075086580214e-77	****	g__Ruminiclostridium
node76	Ageyoung	-0.6692820142387459	0.29596076430555956	-2.2613876397067187	0.023735263483545446		0.030323699610650588	*	g__Ruminiclostridium
node77	(Intercept)	4.024551797344948	0.21539285206137132	18.684704523984124	6.594295420871603e-78		2.6158586255170225e-77	****	g__Ruminiclostridium
node77	Ageyoung	-0.780398165292477	0.2968521425400435	-2.6289120186734247	0.008565851925617228		0.011315264032701245	*	g__Ruminiclostridium
node78	(Intercept)	4.894827917479971	0.18598391188123573	26.3185555565993	1.1761504113367897e-152		6.255377743257889e-152	****	g__Ruminiclostridium
node78	Ageyoung	-0.2716868461706456	0.2559718447264716	-1.0613934765402298	0.2885111203064174		0.3262220226456814	ns	g__Ruminiclostridium
node79	(Intercept)	4.849812321027087	0.20036391226588138	24.20501908842458	1.9698383687298807e-129		9.754096198262443e-129	****	g__Ruminiclostridium
node79	Ageyoung	-0.24918577508887052	0.27575120948269205	-0.9036615852251086	0.36617487458753395		0.40510563937419014	ns	g__Ruminiclostridium
node80	(Intercept)	2.5740922782942115	0.03372991484316125	76.3148169885199	0		0	****	g__Ruminiclostridium
node80	Ageyoung	-39.6177456533834	7749064.1390819885	-5.112584557607858e-6	0.9999959207477157		0.9999963516552207	ns	g__Ruminiclostridium
node81	(Intercept)	4.521950796207477	0.1550415712679466	29.16605371853806	5.228365300514985e-187		3.052005110381918e-186	****	f__Ruminococcaceae
node81	Ageyoung	-1.048742878569051	0.21396354144989482	-4.901502711454426	9.51063368152268e-7		1.5807025424382602e-6	****	f__Ruminococcaceae
node82	(Intercept)	4.510859506516851	0.1583422331359377	28.488037696451155	1.6478915536279178e-178		9.390366154800357e-178	****	g__Oscillibacter
node82	Ageyoung	-1.061507082967648	0.21851128137433143	-4.857905167601766	1.186342015300475e-6		1.962657988446408e-6	****	g__Oscillibacter
node83	(Intercept)	4.502955628715948	0.1601904886942425	28.110006189635847	7.392039406118184e-174		4.179121491017997e-173	****	g__Oscillibacter
node83	Ageyoung	-1.0893905982451313	0.2210794235905384	-4.927598328928131	8.324653212391203e-7		1.3932636378780614e-6	****	g__Oscillibacter
node84	(Intercept)	3.7106555498721114	0.15408605322465505	24.08170935796528	3.8867299195444803e-128		1.911419234406121e-127	****	g__Oscillibacter
node84	Ageyoung	-1.0342106881852327	0.21340985708326932	-4.846124271484326	1.258966737236918e-6		2.0732525626974933e-6	****	g__Oscillibacter
node85	(Intercept)	3.695202703748764	0.1542125973378033	23.961743512136092	6.9709165025250674e-127		3.404842210076869e-126	****	g__Oscillibacter
node85	Ageyoung	-1.018757842061885	0.21357095611460408	-4.7701141606315165	1.841215412930137e-6		3.004528787463269e-6	****	g__Oscillibacter
node86	(Intercept)	3.636013832358435	0.15571889248227827	23.349856747614837	1.3827829368224707e-120		6.447000965185285e-120	****	g__Oscillibacter
node86	Ageyoung	-0.9595689706715546	0.21558352361200275	-4.451031111257567	8.545895854573125e-6		1.3397277780750007e-5	****	g__Oscillibacter
node87	(Intercept)	0.014815085785140389	0.49367029054555395	0.030010081766857533	0.9760590127058939		0.9999963516552207	ns	g__Ruminiclostridium
node87	Ageyoung	-0.28925193148690054	0.6825185308839415	-0.42380084700745835	0.6717110603553879		0.7219888343340846	ns	g__Ruminiclostridium
node88	(Intercept)	6.1241280258907915	0.0935967594064266	65.4309835589275	0		0	****	f__Ruminococcaceae
node88	Ageyoung	-0.8710172521808353	0.12894505285955074	-6.754948971400732	1.4288553615658414e-11		2.956536454190992e-11	****	f__Ruminococcaceae
node89	(Intercept)	6.104426694032647	0.09372470859867543	65.13145557135311	0		0	****	f__Ruminococcaceae
node89	Ageyoung	-0.8662132515543157	0.12912269904298407	-6.708450628544863	1.9670169785866116e-11		4.0122675870033724e-11	****	f__Ruminococcaceae
node90	(Intercept)	6.047266319733205	0.09558313894003108	63.26708232010735	0		0	****	f__Ruminococcaceae
node90	Ageyoung	-0.8383632147911095	0.13167812915030047	-6.366761285271469	1.9306128824736464e-10		3.83983393245451e-10	****	f__Ruminococcaceae
node91	(Intercept)	5.542433478020738	0.09546137503107119	58.05943478413926	0		0	****	f__Ruminococcaceae
node91	Ageyoung	-0.6672361548195868	0.13154186810740243	-5.072424197859164	3.9277961279115834e-7		6.762967913286611e-7	****	f__Ruminococcaceae
node92	(Intercept)	2.327641672831383	0.16774919687323037	13.875724690297048	8.889012314990077e-44		2.9276655239279244e-43	****	f__Ruminococcaceae
node92	Ageyoung	0.8313425947962113	0.2292246059052118	3.62675983895021	2.8699999940431524e-4		4.129579149745458e-4	***	f__Ruminococcaceae
node93	(Intercept)	2.305565721132184	0.16979531613509574	13.578500123629949	5.371515142370114e-42		1.7065256071777618e-41	****	f__Ruminococcaceae
node93	Ageyoung	0.8534185464954113	0.23199684731711295	3.6785782064050485	2.3453777569378242e-4		3.401982281780521e-4	***	f__Ruminococcaceae
node94	(Intercept)	0.8890575814157965	0.24141216341683466	3.6827373104672607	2.3074289913168128e-4		3.353712582521198e-4	***	g__GCA-900066225
node94	Ageyoung	-5.206545694952107	1.0511244305382614	-4.95331051556468	7.296140444148045e-7		1.2268451613344957e-6	****	g__GCA-900066225
node95	(Intercept)	5.501440953517246	0.09814630312157037	56.053470976923144	0		0	****	f__Ruminococcaceae
node95	Ageyoung	-0.8243843087290438	0.13530550255653465	-6.092762623490435	1.109785664577974e-9		2.136617026065026e-9	****	f__Ruminococcaceae
node96	(Intercept)	5.123341895401862	0.09896662810221617	51.76837883281521	0		0	****	f__Ruminococcaceae
node96	Ageyoung	-0.5397358873296092	0.13638503204925967	-3.9574422443561614	7.575659654977349e-5		1.1403194197638861e-4	***	f__Ruminococcaceae
node97	(Intercept)	4.991143066382336	0.09888872318069798	50.47231783205543	0		0	****	f__Ruminococcaceae
node97	Ageyoung	-0.43152828205374577	0.1362489534896183	-3.1672043784661197	0.0015391210728081235		0.002112980746226066	**	f__Ruminococcaceae
node98	(Intercept)	4.746877023627856	0.10677954597376618	44.45492795777646	0		0	****	f__Ruminococcaceae
node98	Ageyoung	-0.3568822193047968	0.1470957865438119	-2.4261892722433682	0.015258310291381576		0.019846860125384006	*	f__Ruminococcaceae
node99	(Intercept)	0.30616688712588414	0.24873059246660845	1.2309176932748487	0.21835364940778568		0.25246041912204525	ns	f__Ruminococcaceae
