"","OTU","Sample","Abundance","sample_Sample","host_subject_id","Timepoint","Site","Diet","Age","agexdiet","serum_zinc","wk6_plasma_MCP","wk6_WB_LPS_IL6","MLN_IL17","MLN_IFNg","MLN_CD4_naive","Study","agexstudy","agexdietxweek","agexdietxstudy","Kingdom","Phylum","Class","Order","Family","Genus"
"1279","ASV2","ZAM2_s21_YZA",81.6591037162262,"ZAM2_s21_YZA","ZAM2_21","wk0","fecal_wk0","adequate","young","YZA",0.6,11.8,26.5,167.4,284,87.5,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1361","ASV2","ZAM2_s24_YZA",81.6329922362829,"ZAM2_s24_YZA","ZAM2_24","wk0","fecal_wk0","adequate","young","YZA",0.59,0,126.7,110,417.3,84.7,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1314","ASV2","ZAM1_s45_YZA",81.3643359847728,"ZAM1_s45_YZA","ZAM1_7","wk6","fecal_wk6","adequate","young","YZA",0.66,0,663.5,78.8,428.7,85.4,"ZAM1","young_ZAM1","wk6_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1393","ASV2","ZAM2_s61_YZA",80.0973208475967,"ZAM2_s61_YZA","ZAM2_22","wk6","fecal_wk6","adequate","young","YZA",0.69,20.6,243.9,9.5,77,88.4,"ZAM2","young_ZAM2","wk6_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"35","ASV1","ZAM2_s32_OZA",78.7643028933751,"ZAM2_s32_OZA","ZAM2_32","wk0","fecal_wk0","adequate","old","OZA",0.6,84,596.6,113.5,5211.2,29.9,"ZAM2","old_ZAM2","wk0_OZA","OZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1307","ASV2","ZAM1_s2_YZA",77.8268156978647,"ZAM1_s2_YZA","ZAM1_2","wk0","fecal_wk0","adequate","young","YZA",0.77,0,533.1,21.7,205.7,84.9,"ZAM1","young_ZAM1","wk0_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1340","ASV2","ZAM1_s58_YZS",76.8988098522892,"ZAM1_s58_YZS","ZAM1_21","wk6","fecal_wk6","supplemented","young","YZS",0.82,0,1047.8,43,284.6,85.3,"ZAM1","young_ZAM1","wk6_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"2","ASV1","ZAM2_s31_OZA",76.4997591317408,"ZAM2_s31_OZA","ZAM2_31","wk0","fecal_wk0","adequate","old","OZA",0.6,15.5,63.7,39,3495.2,15.5,"ZAM2","old_ZAM2","wk0_OZA","OZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"139","ASV1","ZAM2_s56_OZD",75.1047323010406,"ZAM2_s56_OZD","ZAM2_17","wk6","fecal_wk6","deficient","old","OZD",0.59,29.8,949.5,291.5,2912.6,20.73,"ZAM2","old_ZAM2","wk6_OZD","OZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"108","ASV1","ZAM2_s71_OZA",74.3656504449915,"ZAM2_s71_OZA","ZAM2_32","wk6","fecal_wk6","adequate","old","OZA",0.6,84,596.6,113.5,5211.2,29.9,"ZAM2","old_ZAM2","wk6_OZA","OZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"50","ASV1","ZAM1_s73_OZS",74.2048799012627,"ZAM1_s73_OZS","ZAM1_36","wk6","fecal_wk6","supplemented","old","OZS",0.82,56.9,951.4,249.1,1126.2,34.7,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1404","ASV2","ZAM2_s66_YZA",73.583468509768,"ZAM2_s66_YZA","ZAM2_27","wk6","fecal_wk6","adequate","young","YZA",0.74,14.5,426.9,28.8,167,85.6,"ZAM2","young_ZAM2","wk6_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1372","ASV2","ZAM2_s28_YZA",73.1783456476383,"ZAM2_s28_YZA","ZAM2_28","wk0","fecal_wk0","adequate","young","YZA",0.66,0,192.5,9.4,307.3,87.9,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1292","ASV2","ZAM1_s10_YZA",71.8205787572019,"ZAM1_s10_YZA","ZAM1_10","wk0","fecal_wk0","adequate","young","YZA",0.61,0,265.1,72.2,366.9,83.8,"ZAM1","young_ZAM1","wk0_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1349","ASV2","ZAM2_s30_YZA",71.3219040133615,"ZAM2_s30_YZA","ZAM2_30","wk0","fecal_wk0","adequate","young","YZA",0.72,0,384.5,21.4,233.4,87.3,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"27","ASV1","ZAM1_s11_OZA",71.2392048232035,"ZAM1_s11_OZA","ZAM1_11","wk0","fecal_wk0","adequate","old","OZA",NA,53.4,2153.1,NA,NA,28.3,"ZAM1","old_ZAM1","wk0_OZA","OZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1321","ASV2","ZAM1_s44_YZA",71.1914722280988,"ZAM1_s44_YZA","ZAM1_6","wk6","fecal_wk6","adequate","young","YZA",0.65,32.1,613,14.3,168.8,82.1,"ZAM1","young_ZAM1","wk6_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1414","ASV2","ZAM2_s63_YZA",70.7886184564308,"ZAM2_s63_YZA","ZAM2_24","wk6","fecal_wk6","adequate","young","YZA",0.59,0,126.7,110,417.3,84.7,"ZAM2","young_ZAM2","wk6_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"52","ASV1","ZAM1_s50_OZA",70.613887346255,"ZAM1_s50_OZA","ZAM1_13","wk6","fecal_wk6","adequate","old","OZA",0.46,23.9,814.7,NA,NA,52.2,"ZAM1","old_ZAM1","wk6_OZA","OZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1284","ASV2","ZAM1_s8_YZA",69.9416634718006,"ZAM1_s8_YZA","ZAM1_8","wk0","fecal_wk0","adequate","young","YZA",0.64,0,644.1,21.9,207.8,82.3,"ZAM1","young_ZAM1","wk0_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1357","ASV2","ZAM2_s45_YZD",68.7618813167576,"ZAM2_s45_YZD","ZAM2_6","wk6","fecal_wk6","deficient","young","YZD",0.72,12.4,171.8,53.7,252.4,87.66,"ZAM2","young_ZAM2","wk6_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"131","ASV1","ZAM2_s57_OZD",68.7054851857443,"ZAM2_s57_OZD","ZAM2_18","wk6","fecal_wk6","deficient","old","OZD",0.48,24.7,452.1,985.5,2253.6,40.37,"ZAM2","old_ZAM2","wk6_OZD","OZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1333","ASV2","ZAM1_s21_YZS",68.0424334200217,"ZAM1_s21_YZS","ZAM1_21","wk0","fecal_wk0","supplemented","young","YZS",0.82,0,1047.8,43,284.6,85.3,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"13","ASV1","ZAM2_s36_OZA",67.6596044699827,"ZAM2_s36_OZA","ZAM2_36","wk0","fecal_wk0","adequate","old","OZA",0.53,334.7,51.7,150.7,1315.8,70.8,"ZAM2","old_ZAM2","wk0_OZA","OZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"7","ASV1","ZAM1_s56_OZA",66.2904786623857,"ZAM1_s56_OZA","ZAM1_19","wk6","fecal_wk6","adequate","old","OZA",0.58,69.3,1912.3,NA,NA,21.6,"ZAM1","old_ZAM1","wk6_OZA","OZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1373","ASV2","ZAM1_s59_YZS",65.9326364692218,"ZAM1_s59_YZS","ZAM1_22","wk6","fecal_wk6","supplemented","young","YZS",0.66,45.7,146.1,49.7,454.4,85.2,"ZAM1","young_ZAM1","wk6_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1339","ASV2","ZAM2_s27_YZA",65.8517673383032,"ZAM2_s27_YZA","ZAM2_27","wk0","fecal_wk0","adequate","young","YZA",0.74,14.5,426.9,28.8,167,85.6,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"104","ASV1","ZAM2_s75_OZA",65.8447744466237,"ZAM2_s75_OZA","ZAM2_36","wk6","fecal_wk6","adequate","old","OZA",0.53,334.7,51.7,150.7,1315.8,70.8,"ZAM2","old_ZAM2","wk6_OZA","OZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1290","ASV2","ZAM1_s5_YZA",65.7463427617907,"ZAM1_s5_YZA","ZAM1_5","wk0","fecal_wk0","adequate","young","YZA",0.73,26.7,233.7,29.9,562.5,86.4,"ZAM1","young_ZAM1","wk0_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"116","ASV1","ZAM1_s75_OZS",65.5865209149053,"ZAM1_s75_OZS","ZAM1_38","wk6","fecal_wk6","supplemented","old","OZS",0.66,0,731.9,NA,NA,20.1,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1306","ASV2","ZAM2_s4_YZD",65.1552990810562,"ZAM2_s4_YZD","ZAM2_4","wk0","fecal_wk0","deficient","young","YZD",0.58,17.4,431,60.1,182.5,83.44,"ZAM2","young_ZAM2","wk0_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"83","ASV1","ZAM1_s74_OZS",65.0834202294056,"ZAM1_s74_OZS","ZAM1_37","wk6","fecal_wk6","supplemented","old","OZS",0.71,0,1199.4,285.5,1390.9,64,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"94","ASV1","ZAM1_s67_OZS",65.0526177753008,"ZAM1_s67_OZS","ZAM1_30","wk6","fecal_wk6","supplemented","old","OZS",0.59,0,690.1,NA,NA,70.3,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1401","ASV2","ZAM2_s5_YZD",64.8852212070603,"ZAM2_s5_YZD","ZAM2_5","wk0","fecal_wk0","deficient","young","YZD",0.6,16.9,115.1,7.1,83.6,82.11,"ZAM2","young_ZAM2","wk0_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1398","ASV2","ZAM2_s65_YZA",64.7916506791497,"ZAM2_s65_YZA","ZAM2_26","wk6","fecal_wk6","adequate","young","YZA",0.57,11.8,115.1,58.1,207.4,82.9,"ZAM2","young_ZAM2","wk6_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"38","ASV1","ZAM1_s15_OZA",64.5202203494724,"ZAM1_s15_OZA","ZAM1_15","wk0","fecal_wk0","adequate","old","OZA",0.62,13.7,337.8,820.1,3164.3,34.8,"ZAM1","old_ZAM1","wk0_OZA","OZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"71","ASV1","ZAM1_s17_OZA",64.1535554762257,"ZAM1_s17_OZA","ZAM1_17","wk0","fecal_wk0","adequate","old","OZA",NA,NA,NA,161.7,1700.8,33.4,"ZAM1","old_ZAM1","wk0_OZA","OZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1322","ASV2","ZAM1_s28_YZS",63.9663266353701,"ZAM1_s28_YZS","ZAM1_28","wk0","fecal_wk0","supplemented","young","YZS",0.79,0,571.8,85,211.9,89.1,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"46","ASV1","ZAM2_s37_OZA",63.0656610470275,"ZAM2_s37_OZA","ZAM2_37","wk0","fecal_wk0","adequate","old","OZA",0.37,103.2,289.3,1710.2,5602.2,28.6,"ZAM2","old_ZAM2","wk0_OZA","OZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1384","ASV2","ZAM1_s62_YZS",62.4451589853519,"ZAM1_s62_YZS","ZAM1_25","wk6","fecal_wk6","supplemented","young","YZS",0.87,0,467.3,62.6,197.8,85.4,"ZAM1","young_ZAM1","wk6_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"87","ASV1","ZAM2_s51_OZD",62.1826970748637,"ZAM2_s51_OZD","ZAM2_12","wk6","fecal_wk6","deficient","old","OZD",0.75,27,474.1,1463.5,2109.9,18.56,"ZAM2","old_ZAM2","wk6_OZD","OZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"48","ASV1","ZAM2_s16_OZD",62.053354890865,"ZAM2_s16_OZD","ZAM2_16","wk0","fecal_wk0","deficient","old","OZD",0.49,95.2,931.1,400.4,3745.8,61.24,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"43","ASV1","ZAM1_s36_OZS",61.3352341103068,"ZAM1_s36_OZS","ZAM1_36","wk0","fecal_wk0","supplemented","old","OZS",0.82,56.9,951.4,249.1,1126.2,34.7,"ZAM1","old_ZAM1","wk0_OZS","OZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"10","ASV1","ZAM1_s34_OZS",61.1985537487408,"ZAM1_s34_OZS","ZAM1_34","wk0","fecal_wk0","supplemented","old","OZS",0.61,25.8,1234.6,160,2422.4,44.9,"ZAM1","old_ZAM1","wk0_OZS","OZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1400","ASV2","ZAM2_s60_YZA",61.1982505953471,"ZAM2_s60_YZA","ZAM2_21","wk6","fecal_wk6","adequate","young","YZA",0.6,11.8,26.5,167.4,284,87.5,"ZAM2","young_ZAM2","wk6_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1348","ASV2","ZAM1_s3_YZA",61.0744183085591,"ZAM1_s3_YZA","ZAM1_3","wk0","fecal_wk0","adequate","young","YZA",0.71,13.7,583.3,NA,NA,NA,"ZAM1","young_ZAM1","wk0_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"97","ASV1","ZAM2_s67_YZA",60.7067873135022,"ZAM2_s67_YZA","ZAM2_28","wk6","fecal_wk6","adequate","young","YZA",0.66,0,192.5,9.4,307.3,87.9,"ZAM2","young_ZAM2","wk6_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1313","ASV2","ZAM1_s20_YZS",60.7062173383006,"ZAM1_s20_YZS","ZAM1_20","wk0","fecal_wk0","supplemented","young","YZS",0.83,0,538.5,44.9,416.4,86.4,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1301","ASV2","ZAM2_s10_YZD",60.1890253628968,"ZAM2_s10_YZD","ZAM2_10","wk0","fecal_wk0","deficient","young","YZD",0.72,28.8,47.7,16,233.4,86.38,"ZAM2","young_ZAM2","wk0_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"114","ASV1","ZAM2_s18_OZD",59.8173515981735,"ZAM2_s18_OZD","ZAM2_18","wk0","fecal_wk0","deficient","old","OZD",0.48,24.7,452.1,985.5,2253.6,40.37,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"122","ASV1","ZAM1_s30_OZS",59.6750966892504,"ZAM1_s30_OZS","ZAM1_30","wk0","fecal_wk0","supplemented","old","OZS",0.59,0,690.1,NA,NA,70.3,"ZAM1","old_ZAM1","wk0_OZS","OZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1370","ASV2","ZAM2_s6_YZD",59.3316747983189,"ZAM2_s6_YZD","ZAM2_6","wk0","fecal_wk0","deficient","young","YZD",0.72,12.4,171.8,53.7,252.4,87.66,"ZAM2","young_ZAM2","wk0_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1304","ASV2","ZAM2_s43_YZD",59.2223249829104,"ZAM2_s43_YZD","ZAM2_4","wk6","fecal_wk6","deficient","young","YZD",0.58,17.4,431,60.1,182.5,83.44,"ZAM2","young_ZAM2","wk6_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"133","ASV1","ZAM2_s55_OZD",59.1987875568333,"ZAM2_s55_OZD","ZAM2_16","wk6","fecal_wk6","deficient","old","OZD",0.49,95.2,931.1,400.4,3745.8,61.24,"ZAM2","old_ZAM2","wk6_OZD","OZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"6","ASV1","ZAM1_s69_OZS",59.0856971493085,"ZAM1_s69_OZS","ZAM1_32","wk6","fecal_wk6","supplemented","old","OZS",0.71,0,663.5,NA,NA,56.9,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1305","ASV2","ZAM2_s8_YZD",59.0443334534782,"ZAM2_s8_YZD","ZAM2_8","wk0","fecal_wk0","deficient","young","YZD",0.6,7.2,209.6,55.6,231.1,86.94,"ZAM2","young_ZAM2","wk0_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1359","ASV2","ZAM1_s23_YZS",58.7775431326453,"ZAM1_s23_YZS","ZAM1_23","wk0","fecal_wk0","supplemented","young","YZS",0.81,0,1321,21.9,812,79.5,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1406","ASV2","ZAM1_s6_YZA",58.7130311198993,"ZAM1_s6_YZA","ZAM1_6","wk0","fecal_wk0","adequate","young","YZA",0.65,32.1,613,14.3,168.8,82.1,"ZAM1","young_ZAM1","wk0_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"62","ASV1","ZAM1_s54_OZA",57.8981030824909,"ZAM1_s54_OZA","ZAM1_17","wk6","fecal_wk6","adequate","old","OZA",NA,NA,NA,161.7,1700.8,33.4,"ZAM1","old_ZAM1","wk6_OZA","OZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"37","ASV1","ZAM2_s11_OZD",57.1166311125697,"ZAM2_s11_OZD","ZAM2_11","wk0","fecal_wk0","deficient","old","OZD",0.51,52.4,557.9,297.7,3535.6,22.54,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1346","ASV2","ZAM2_s41_YZD",56.8332022029898,"ZAM2_s41_YZD","ZAM2_2","wk6","fecal_wk6","deficient","young","YZD",0.74,25.2,59.3,21.4,215.7,86.09,"ZAM2","young_ZAM2","wk6_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1308","ASV2","ZAM2_s22_YZA",56.6839674690425,"ZAM2_s22_YZA","ZAM2_22","wk0","fecal_wk0","adequate","young","YZA",0.69,20.6,243.9,9.5,77,88.4,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1317","ASV2","ZAM2_s2_YZD",56.2739165872325,"ZAM2_s2_YZD","ZAM2_2","wk0","fecal_wk0","deficient","young","YZD",0.74,25.2,59.3,21.4,215.7,86.09,"ZAM2","young_ZAM2","wk0_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"16","ASV1","ZAM1_s19_OZA",56.1173785818135,"ZAM1_s19_OZA","ZAM1_19","wk0","fecal_wk0","adequate","old","OZA",0.58,69.3,1912.3,NA,NA,21.6,"ZAM1","old_ZAM1","wk0_OZA","OZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"12","ASV1","ZAM1_s13_OZA",55.7065438387662,"ZAM1_s13_OZA","ZAM1_13","wk0","fecal_wk0","adequate","old","OZA",0.46,23.9,814.7,NA,NA,52.2,"ZAM1","old_ZAM1","wk0_OZA","OZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1351","ASV2","ZAM1_s61_YZS",55.3583695901076,"ZAM1_s61_YZS","ZAM1_24","wk6","fecal_wk6","supplemented","young","YZS",0.72,0,783.6,26.7,307.7,87.7,"ZAM1","young_ZAM1","wk6_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
